file,low_red,low_green,low_blue,high_red,high_green,high_blue
6751,186,180,101,195,191,113	
6885,203,203,100,220,215,142
6910,200,196,103,219,212,138
6902,204,200,105,220,217,130
6906,210,200,111,220,213,130
6905,205,199,105,220,217,130
6915,208,204,105,220,221,148
6915,208,204,105,220,221,148
6917,205,201,115,225,220,140
6909,210,206,122,224,220,144
6911,213,207,117,225,220,144
